clean_name,clean_artists,hit,split
atdodies man,"[""linga""]",0,train
big wheel,"[""mental as anything""]",0,test
chitarratella,"[""carlo buti""]",0,train
coisas que a vida ensina,"[""josé augusto""]",0,test
coração materno,"[""vicente celestino""]",0,test
cousin mary,"[""archie shepp""]",0,train
diez mil porqués,"[""beret""]",0,train
dito sa puso ko,"[""jaya""]",0,train
elämän ohjat,"[""martti servo & napander""]",0,train
enseñame a olvidar,"[""banda el recodo""]",0,train
ferma a guardare,"[""ernia""]",0,train
forever you and me,"[""the teskey brothers""]",0,test
fteo,"[""anna vissi""]",0,train
gillar din vibe,"[""syster sol""]",0,val
here comes the flood,"[""peter gabriel""]",0,train
het ballonnenvrouwtje,"[""het ballonnenvrouwtje""]",0,train
hoochie coochie man,"[""the jeff healey band""]",0,train
i should care,"[""mel tormé""]",0,train
illégal,"[""corbeau""]",0,test
ingrid blir bjuden på vårbal,"[""pelle svanslös""]",0,train
jil jil rani,"[""jikki""]",0,train
la manifestation,"[""les cowboys fringants""]",0,train
last dance,"[""air""]",0,train
lost love,"[""fats waller""]",0,train
love & devotion,"[""real mccoy""]",0,train
maha durga kavacham,"[""anuradha paudwal""]",0,train
massage situation,"[""flying lotus""]",0,train
moja pierwsza dziewczyna,"[""pokój z widokiem na wojnę""]",0,train
oriel window - 2008 remaster,"[""enya""]",0,train
our darkness,"[""anne clark""]",0,train
pobre corazón,"[""onda sabanera""]",0,train
pra sempre,"[""thiago grulha""]",0,train
puta,"[""ena pá 2000""]",0,train
running back to you,"[""commissioned""]",0,test
se me esta yendo tu cariño,"[""h2o""]",0,train
serotonia,"[""highly suspect""]",0,val
señor amor,"[""dulce""]",0,train
showbizz suite - 2006 remastered version,"[""marc moulin""]",0,train
taas kaikki kauniit muistot - all beautiful memories,"[""sulo saarits""]",0,val
te dejo libre,"[""agua bella""]",0,val
territoire hostile,"[""sans pression""]",0,train
this little girl of mine,"[""ray charles""]",0,train
tu al centro del mio cuore,"[""figli del divino amore""]",0,val
twin soliloquies,"[""richard rodgers""]",0,train
under your sky,"[""globe""]",0,train
viagem na palma da mão,"[""jorge palma""]",0,train
waiting for the axe to fall,"[""gil scott-heron""]",0,train
willow grove - alternate take,"[""bud powell""]",0,train
woo hah!! got you all in check,"[""busta rhymes""]",0,train
yo sin ti,"[""jambao""]",0,train
4 da gang,"[""42 dugg"",""roddy ricch""]",1,test
almost maybes,"[""jordan davis""]",1,val
arcade,"[""duncan laurence""]",1,train
astronaut in the ocean,"[""masked wolf""]",1,test
back in blood,"[""pooh shiesty"",""lil durk""]",1,train
beautiful mistakes,"[""maroon 5"",""megan thee stallion""]",1,test
best friend,"[""saweetie"",""doja cat""]",1,test
big gangsta,"[""kevin gates""]",1,val
blinding lights,"[""the weeknd""]",1,train
breaking up was easy in the 90s,"[""sam hunt""]",1,train
calling my phone,"[""lil tjay"",""6lack""]",1,test
chasing after you,"[""ryan hurd"",""maren morris""]",1,train
deja vu,"[""olivia rodrigo""]",1,train
down to one,"[""luke bryan""]",1,train
drankin n smokin,"[""future"",""lil uzi vert""]",1,test
drivers license,"[""olivia rodrigo""]",1,test
drunk and i dont wanna go home,"[""elle king"",""miranda lambert""]",1,train
follow you,"[""imagine dragons""]",1,val
forever after all,"[""luke combs""]",1,train
gone,"[""dierks bentley""]",1,test
good days,"[""sza""]",1,test
goosebumps,"[""travis scott"",""hvme""]",1,val
hard for the next,"[""moneybagg yo"",""future""]",1,train
heartbreak anniversary,"[""giveon""]",1,test
heat waves,"[""glass animals""]",1,train
hell of a view,"[""eric church""]",1,val
hello,"[""pop smoke"",""a boogie wit da hoodie""]",1,val
hold on,"[""justin bieber""]",1,val
kiss me more,"[""doja cat"",""sza""]",1,train
lady,"[""brett young""]",1,train
levitating,"[""dua lipa"",""dababy""]",1,train
lil bit,"[""nelly"",""florida georgia line""]",1,train
made for you,"[""jake owen""]",1,train
minimum wage,"[""blake shelton""]",1,val
montero call me by your name,"[""lil nas x""]",1,train
mood,"[""24kgoldn"",""iann dior""]",1,val
no more parties,"[""coi leray"",""lil durk""]",1,val
nobody,"[""dylan scott""]",1,train
on me,"[""lil baby""]",1,test
peaches,"[""justin bieber"",""daniel caesar"",""giveon""]",1,train
pick up your feelings,"[""jazmine sullivan""]",1,test
positions,"[""ariana grande""]",1,test
pov,"[""ariana grande""]",1,val
rapstar,"[""polo g""]",1,train
richer,"[""rod wave"",""polo g""]",1,train
settling down,"[""miranda lambert""]",1,test
single saturday night,"[""cole swindell""]",1,train
street runner,"[""rod wave""]",1,train
streets,"[""doja cat""]",1,val
the good ones,"[""gabby barrett""]",1,test
therefore i am,"[""billie eilish""]",1,train
time today,"[""moneybagg yo""]",1,test
tombstone,"[""rod wave""]",1,train
track star,"[""mooski""]",1,val
up,"[""cardi b""]",1,val
wants and needs,"[""drake"",""lil baby""]",1,train
way less sad,"[""ajr""]",1,train
were good,"[""dua lipa""]",1,test
what you know bout love,"[""pop smoke""]",1,train
whats next,"[""drake""]",1,test
whats your country song,"[""thomas rhett""]",1,val
without you,"[""the kid laroi""]",1,train
you broke me first,"[""tate mcrae""]",1,test
youre mines still,"[""yung bleu"",""drake""]",1,test
...and then i kissed him,"[""hans zimmer""]",0,train
a mansion on the hill,"[""hank williams""]",0,train
at the cross,"[""hillsong worship""]",0,train
beech bhanwar mein,"[""suraiya""]",0,train
búscame,"[""ross""]",0,train
como río en primavera,"[""marcela gandara""]",0,val
de ginetai,"[""elli kokkinou""]",0,train
din för alltid,"[""wizex""]",0,train
